"NUTS3","GDP_per_capita"
"DEC01",42983
"DEC02",25092
"DED52",24798
"DED21",38024
"DED2C",24429
"DE122",62202
"DE264",30780
"DE263",61270
"DE265",30941
"DE253",34283
"DE254",57117
"DE219",32688
"DE21I",34398
"DE21J",40152
"DE217",27603
"DE218",30862
"DE21A",29728
"DE21B",50117
"DE21C",25210
"DE21H",104483
"DE21G",32225
"DE21K",30708
"DE21M",38407
"DE501",48890
"DE94G",33934
"DE600",61449
"DE711",75662
"DE94H",24164
"DE94B",30049
"DE94F",42837
"DE928",24041
"DE913",177552
"DE917",19253
"DEA46",39199
"DEA18",34929
"DEA19",30161
"DEA1A",36587
"DEB1C",27890
"DEB1D",32262
"DEB3K",15460
"DEB34",83718
"DEB3H",25774
"DEF08",24851
"DE148",41278
"DE269",32773
"DE268",34588
"DE26A",34327
"DE26C",27666
"DE26B",21052
"DE257",37775
"DE25A",27674
"DE222",64561
"DE225",27489
"DE221",56031
"DE21L",41521
"DE21N",38301
"DE40B",26210
"DE502",34382
"DE723",28359
"DE716",26852
"DE94C",24279
"DE94D",22537
"DE94E",28733
"DE912",50058
"DE914",20527
"DE91B",19528
"DEA52",35664
"DEA53",32711
"DEA55",21893
"DEA59",38092
"DE80N",22963
"DEB24",30461
"DEB25",19305
"DEB35",54838
"DEB37",37010
"DEB31",32321
"DE126",63036
"DE127",30103
"DE128",32744
"DE142",32642
"DE13A",30188
"DE262",98156
"DE255",32168
"DE27C",36113
"DE736",35706
"DE737",24020
"DE937",30354
"DE939",29246
"DE911",71724
"DEA34",35520
"DEA37",30722
"DEA41",38290
"DEA42",45492
"DEA32",29053
"DEA36",24333
"DEA17",26912
"DEB11",65163
"DEB12",24568
"DEB23",26407
"DE80O",22360
"DE91C",33363
"DEB14",28574
"DEB3J",34967
"DEB3A",44335
"DED41",33736
"DED44",23844
"DED42",22121
"DEE02",29445
"DEF01",39875
"DEF0C",24107
"DEF0E",30945
"DEF0D",29861
"DEF0F",32341
"DE11A",39168
"DE11B",35740
"DE11C",34990
"DE143",33102
"DE252",88127
"DE232",83406
"DE227",34481
"DE21E",32583
"DE932",21311
"DE718",45157
"DE71A",53658
"DE71C",40403
"DE936",19421
"DE931",27937
"DE925",27133
"DE926",29999
"DEB3E",36861
"DED45",29252
"DEE04",23344
"DE115",44079
"DE145",29658
"DE147",49118
"DE149",34811
"DE243",91888
"DE245",25121
"DE242",62727
"DE244",41998
"DE223",50782
"DE300",37551
"DE40A",25254
"DE40C",23824
"DE402",33793
"DE401",30543
"DE724",34658
"DE732",35709
"DEA57",34227
"DEA1D",38715
"DEA56",29266
"DEB39",35244
"DEC03",24855
"DEC05",37974
"DEC06",25809
"DEE0D",23716
"DEE06",23503
"DEE07",26731
"DEE09",22463
"DEE0C",23508
"DEE08",24092
"DEE0A",19338
"DEE0B",32385
"DE125",53315
"DE124",41646
"DE129",39800
"DE11D",40588
"DE247",25918
"DE248",26177
"DE24A",31000
"DE24C",33747
"DE249",33378
"DE24B",33336
"DE24D",32237
"DE233",52941
"DE239",34254
"DE23A",33166
"DE275",25905
"DE276",28647
"DE238",24353
"DE272",36775
"DE273",53763
"DE215",31751
"DE40H",33237
"DE734",32260
"DE721",34826
"DE722",32635
"DE71D",23498
"DE71E",27954
"DE922",29499
"DEA33",51715
"DEA35",27489
"DEA38",30005
"DEA43",32221
"DEA45",28497
"DEA44",26443
"DEA47",34662
"DEA5B",33403
"DEA31",20269
"DEA15",32471
"DEA58",35176
"DEA28",26189
"DE80M",21948
"DE80K",23194
"DE80L",22684
"DEB33",41023
"DEB36",29711
"DED51",35189
"DED2E",27013
"DED2F",21945
"DED2D",24909
"DEF02",44198
"DEF04",39657
"DEF0B",26732
"DEF03",37273
"DE121",52294
"DE123",35585
"DE111",83717
"DE112",63435
"DE113",40157
"DE114",32703
"DE132",28763
"DE134",38917
"DE266",36474
"DE267",30228
"DE231",53599
"DE234",25878
"DE277",33094
"DE27D",47695
"DE22B",26550
"DE22C",66189
"DE27A",36394
"DE27B",33862
"DE27E",30417
"DE216",27713
"DE40I",28494
"DE403",34951
"DE804",37335
"DE803",34164
"DE942",69744
"DE933",22528
"DE93B",29411
"DE941",22185
"DE943",44568
"DE944",47555
"DE934",24977
"DE93A",26375
"DEA54",27625
"DEA1B",28457
"DEA1C",37678
"DEA1E",27404
"DEB13",25633
"DEB17",30130
"DEB18",29541
"DEB1A",24453
"DE80J",25577
"DEB32",47864
"DEB3F",20051
"DEB3I",19075
"DEC04",32719
"DEE03",33079
"DEE05",27334
"DEF07",33508
"DEF06",21729
"DE141",39079
"DE133",29824
"DE25B",27580
"DE256",29675
"DE25C",30332
"DE22A",30669
"DE405",21060
"DE409",20043
"DE406",32167
"DE407",22763
"DE408",19990
"DE731",49019
"DE725",26118
"DE733",34272
"DE713",36982
"DE714",61013
"DE715",27513
"DE938",30965
"DE916",27796
"DEA24",45334
"DEA26",28131
"DEA5A",38128
"DEB1B",31375
"DEB22",31427
"DED53",26179
"DED43",25930
"DE144",74745
"DE146",48946
"DE258",22212
"DE259",30598
"DE271",47522
"DE211",128100
"DE274",58819
"DE278",42822
"DE279",36872
"DE213",51252
"DE719",33367
"DE717",44092
"DE71B",26088
"DE945",39107
"DE947",25038
"DE94A",25887
"DE946",28401
"DE948",32549
"DE949",39314
"DEA12",32877
"DEA13",40860
"DEA11",76721
"DEA14",36780
"DEA51",31705
"DEB21",42055
"DEE01",28197
"DEF0A",18583
"DEF09",28549
"DE135",40977
"DE136",36874
"DE139",32188
"DE228",28335
"DE229",30253
"DE712",92423
"DE91A",20817
"DE918",28081
"DEB3B",23301
"DEB3G",16752
"DE237",29704
"DE235",34322
"DE236",37847
"DE212",75573
"DEA5C",29099
"DE118",50856
"DE116",33199
"DE40G",31391
"DE929",43553
"DE935",26340
"DE119",46523
"DE261",75781
"DE246",20639
"DEA2A",34217
"DEA29",23832
"DEA2C",26615
"DEF05",30567
"DEA2B",25074
"DE12A",27482
"DEA27",34349
"DEA2D",35713
"DE241",60347
"DE21D",28382
"DE21F",34712
"DEA16",32323
"DEB15",27655
"DEE0E",24360
"DE117",52141
"DE12B",28961
"DE12C",37107
"DE214",47279
"DE404",40495
"DE138",33520
"DE251",56426
"DE40D",24940
"DE40E",23815
"DE735",30004
"DE927",29185
"DE137",46067
"DEA1F",27051
"DEA23",57857
"DEA22",69807
"DEB3D",28104
"DEB3C",21344
"DE40F",24696
"DE923",33348
"DE131",48586
"DEB38",49467
"DE226",31662
"DE224",38140
"DEG01",39367
"DEG0H",26972
"DEG0P",25257
"DEG0M",20875
"DEG07",25275
"DEG09",23292
"DEG0C",26460
"DEG0B",26541
"DEG0G",22298
"DEG0I",24689
"DEG0J",21340
"DEG0K",25559
"DEG0L",21389
"DEG0A",20625
"DEG0N",40716
"DEG0D",23434
"DEG0F",27130
"DEG0E",22557
"DEG06",24623
"DEG05",29021
"DEG02",27190
"DEG04",31091
"DEG03",41476
