"NUTS3","funding_by_region","population","funding_per_capita_germany_esf","GDP_per_capita","log_funding_per_capita","log_GDP_per_capita","NUTS1_states"
"DE111",213183652.72,623738,341.783974553418,83717,5.834178884133,11.3351973421864,"DE1"
"DE112",137083928.09,381281,359.535167212633,63435,5.88481199494322,11.0577710385747,"DE1"
"DE113",36662019.69,524127,69.9487332077912,40157,4.24776259098026,10.6005520503801,"DE1"
"DE114",24909758.68,252749,98.555320416698,32703,4.59061801911965,10.3952220957965,"DE1"
"DE115",19033086.51,534074,35.6375455648468,44079,3.5733997328026,10.6937387575441,"DE1"
"DE116",21976115.04,419456,52.3919434696369,33199,3.95875282892672,10.410275033969,"DE1"
"DE117",20884970.4,122567,170.396357910367,52141,5.13812724040134,10.8617068664367,"DE1"
"DE118",1754758.81,334388,5.24767279328206,50856,1.65778470085695,10.8367533886162,"DE1"
"DE119",4309800.36,110181,39.1156402646554,46523,3.66652239377862,10.7477020929454,"DE1"
"DE11A",8542374.5,191614,44.5811605623806,39168,3.79731136087101,10.575615365872,"DE1"
"DE11B",8997583.98,132181,68.0701763490971,35740,4.22053917815868,10.4840257887134,"DE1"
"DE11C",6889625.88,130527,52.7831473947919,34990,3.96619196163509,10.4628175853617,"DE1"
"DE11D",26877634.44,312650,85.9671659683352,40588,4.45396543228687,10.611227735399,"DE1"
"DE121",7114785.59,54160,131.366055945347,52294,4.87798774653966,10.8646369207185,"DE1"
"DE122",41606781.83,307755,135.19449506913,62202,4.9067144458356,11.0381424325512,"DE1"
"DE123",8390291.64,435841,19.2508085287983,35585,2.95755306134777,10.4796794797334,"DE1"
"DE124",7869113.01,227474,34.5934612746951,41646,3.54366468370447,10.6369606045676,"DE1"
"DE125",23811624.87,156267,152.377820461134,53315,5.02636309762936,10.8839729964523,"DE1"
"DE126",36962020.51,305780,120.877822323239,63036,4.7947803026073,11.051461270742,"DE1"
"DE127",5404781.83,142936,37.8126002546594,30103,3.63264238715044,10.3123801135446,"DE1"
"DE128",11418948.91,541859,21.0736536811237,32744,3.04802361957565,10.3964750181722,"DE1"
"DE129",39421863.41,122247,322.477143897192,39800,5.7760322620877,10.5916221912725,"DE1"
"DE12A",5226434.81,155359,33.6410173211722,27482,3.51574607606164,10.2212865238917,"DE1"
"DE12B",1452157.9,196066,7.40647486050616,28961,2.00235459878675,10.2737053762902,"DE1"
"DE12C",4465986.25,116233,38.4227048256519,37107,3.64864855636291,10.5215609100431,"DE1"
"DE131",37894048.89,226393,167.381716263312,48586,5.12027693024622,10.791090702546,"DE1"
"DE132",6294665.48,257343,24.4602164426466,28763,3.1970479790607,10.2668451179387,"DE1"
"DE133",5273756.43,162082,32.5375823965647,29824,3.48239580267444,10.3030687174853,"DE1"
"DE134",27622870.25,420106,65.7521441017267,38917,4.18589228043838,10.5691864521368,"DE1"
"DE135",7966519.9,137500,57.9383265454546,40977,4.05937910938103,10.620766212671,"DE1"
"DE136",11852171.34,209648,56.5336723460276,36874,4.03483643135852,10.5152619746303,"DE1"
"DE137",7525872.38,136606,55.091814268773,46067,4.00900114375725,10.7378521375114,"DE1"
"DE138",14660140.07,280288,52.3038448667085,33520,3.95706988398458,10.419897554596,"DE1"
"DE139",12271010.88,226708,54.1269424987208,32188,3.99133207480052,10.379348991266,"DE1"
"DE13A",6163493.97,167861,36.7178437516755,30188,3.60326284266852,10.3151997734048,"DE1"
"DE141",14985685.01,282113,53.1194415358385,39079,3.97254299185686,10.573340517293,"DE1"
"DE142",16780458.65,221837,75.6431913972872,32642,4.32602743482626,10.3933550817106,"DE1"
"DE143",8500662.14,188595,45.0736347199024,33102,3.80829747955473,10.4073489825005,"DE1"
"DE144",21642765.96,122636,176.479711993216,74745,5.17320592355245,11.2218375993836,"DE1"
"DE145",1254239.57,192104,6.52896123974514,29658,1.87624785555724,10.297487182535,"DE1"
"DE146",12781107.29,194019,65.8755446116102,48946,4.18776727417627,10.7984729285829,"DE1"
"DE147",9613748.78,212201,45.3049174132073,49118,3.81341557876556,10.8019808453797,"DE1"
"DE148",18068643.73,279296,64.6935284787466,41278,4.16966117299175,10.6280849493693,"DE1"
"DE149",5549270.16,130772,42.4346967240694,34811,3.7479663465614,10.4576887077701,"DE1"
"DE211",10339200.39,132438,78.0682310968151,128100,4.35758320196357,11.7605664878848,"DE2"
"DE212",106859221.03,1450380,73.6767061252913,75573,4.29968668580783,11.2328543555198,"DE2"
"DE213",9956134.25,61844,160.987876754414,51252,5.08132906248728,10.8445099206295,"DE2"
"DE214",2789379.66,108485,25.7121229663087,47279,3.24696259143194,10.7638215012641,"DE2"
"DE215",2106341.92,103907,20.2714150153503,31751,3.00921176638214,10.3656794998878,"DE2"
"DE216",3020560.14,124930,24.1780208116545,27713,3.18544398954767,10.2296568961614,"DE2"
"DE217",2087467.79,149370,13.9751475530562,27603,2.63728057734365,10.2256797414505,"DE2"
"DE218",2402841.91,137421,17.485259967545,30862,2.86135823843712,10.3372809326312,"DE2"
"DE219",1642593.27,128805,12.7525582857808,32688,2.54573190134211,10.3947633170574,"DE2"
"DE21A",5280108.41,133747,39.4783315513619,29728,3.67575195306847,10.2998446416136,"DE2"
"DE21B",2976535.76,173225,17.1830611054986,50117,2.84392407911836,10.8221155508738,"DE2"
"DE21C",4185780.16,213481,19.6072725910034,25210,2.97590054797563,10.134996020182,"DE2"
"DE21D",3538907.99,87385,40.497888539223,28382,3.70124983791943,10.2535104203945,"DE2"
"DE21E",2305966.94,117657,19.5990628691876,32583,2.97548175229685,10.3915459589481,"DE2"
"DE21F",1868928.75,98286,19.0152081679995,34712,2.94523908888798,10.4548407274782,"DE2"
"DE21G",5777264.92,112034,51.5670682114358,32225,3.94288325578626,10.3804978278074,"DE2"
"DE21H",2370226,340003,6.97119143066385,104483,1.94178614713193,11.5567796577274,"DE2"
"DE21I",3669619.52,94654,38.7687738500222,34398,3.65761512492587,10.4457537021364,"DE2"
"DE21J",1158155.31,124128,9.33033086813612,40152,2.2332704770532,10.6004275313348,"DE2"
"DE21K",3161495.06,256074,12.3460213063411,30708,2.51333384973898,10.3322784859478,"DE2"
"DE21L",731543.1,133621,5.47476145216695,41521,1.70014870437288,10.6339546023282,"DE2"
"DE21M",3977288.23,174162,22.8367165627404,38407,3.12836961625485,10.5559950136294,"DE2"
"DE21N",4379096.04,132906,32.9488212721773,38301,3.49495548708185,10.5532312844885,"DE2"
"DE221",5155422.58,69211,74.4884856453454,56031,4.31064455834461,10.9336603879817,"DE2"
"DE222",4289508.61,50566,84.8298977573864,64561,4.44064804855411,11.075365792291,"DE2"
"DE223",7374575.21,46806,157.556193864035,50782,5.05978218107086,10.835297240068,"DE2"
"DE224",5254919.97,116596,45.0694703934955,38140,3.80820508587903,10.5490188791544,"DE2"
"DE225",1854568.45,78122,23.7393877524897,27489,3.1671355991476,10.2215412036333,"DE2"
"DE226",164840552.23,118965,1385.62226058084,31662,7.23390460334081,10.3628725026337,"DE2"
"DE227",1214431.97,154577,7.8564855702983,34481,2.0613393779886,10.4481637266773,"DE2"
"DE228",1434390.32,188336,7.61612394868745,28335,2.03026757213177,10.2518530686037,"DE2"
"DE229",828737.55,76812,10.7891677081706,30253,2.37854264081493,10.3173506320953,"DE2"
"DE22A",2673035.86,119218,22.4214116995756,30669,3.1100163817445,10.3310076514251,"DE2"
"DE22B",3449711.66,98806,34.9139896362569,26550,3.55288759806623,10.1867850266701,"DE2"
"DE22C",1093665.4,94104,11.6218800476069,66189,2.4528895324507,11.1002695649765,"DE2"
"DE231",6463375.16,41861,154.400878144335,53599,5.03955232503781,10.8892856901684,"DE2"
"DE232",21630313.51,145465,148.697717732788,83406,5.00191550521644,11.3314755282051,"DE2"
"DE233",6096847.19,42055,144.973182499108,52941,4.97654877703352,10.8769333649113,"DE2"
"DE234",677156.3,103568,6.53827726710953,25878,1.87767371595427,10.1611484658759,"DE2"
"DE235",2700824.54,126359,21.3742158453296,34322,3.06218532855127,10.4435418269622,"DE2"
"DE236",3852999.6,130385,29.55094220961,37847,3.38611562860977,10.5413069954866,"DE2"
"DE237",379125.56,95078,3.98752140347925,29704,1.38316983574026,10.2990369958569,"DE2"
"DE238",1437278.73,189390,7.58898954538254,24353,2.02669845281937,10.1004103242073,"DE2"
"DE239",4852656.17,144864,33.4980131019439,34254,3.51148612668236,10.4415586251923,"DE2"
"DE23A",2043752.41,73314,27.8767003573669,33166,3.32779122728732,10.409280533774,"DE2"
"DE241",13362523.81,73331,182.222031746465,60347,5.20522589818769,11.0078665152652,"DE2"
"DE242",12520002.67,72148,173.532220851583,62727,5.1563632931049,11.0465472559395,"DE2"
"DE243",6914251.81,41257,167.589786218096,91888,5.12151924477151,11.4283257231041,"DE2"
"DE244",12146970.97,44660,271.987706448724,41998,5.6057568683949,10.6453772770841,"DE2"
"DE245",588841.41,145570,4.04507391632891,25121,1.39749982384879,10.131459428707,"DE2"
"DE246",556375.56,104306,5.33407052326808,20639,1.6741146471325,9.93493776880937,"DE2"
"DE247",294515,86599,3.40090532223236,25918,1.22404166742303,10.1626929869954,"DE2"
"DE248",3930974.56,114834,34.231800337879,26177,3.53315504648121,10.1726364416067,"DE2"
"DE249",871515.96,96429,9.03790312043058,33378,2.20142719179362,10.4156522793033,"DE2"
"DE24A",2712654.48,67916,39.9413169209023,31000,3.68741129992537,10.3417424834673,"DE2"
"DE24B",5274429.58,72468,72.7828776839433,33336,4.28748073089044,10.4143931731023,"DE2"
"DE24C",809379.14,66655,12.1428120921161,33747,2.4967373973671,10.4266468034609,"DE2"
"DE24D",5381091.11,73185,73.5272406913985,32237,4.29765595920723,10.3808701401818,"DE2"
"DE251",5374889.85,41159,130.588446026385,56426,4.87205074452437,10.9406853241694,"DE2"
"DE252",11414741.16,108336,105.364247895436,88127,4.65742337453645,11.3865342348925,"DE2"
"DE253",20739308.45,124171,167.02215855554,34283,5.11812648957607,10.4424048834683,"DE2"
"DE254",38418704.55,509975,75.3344861022599,57117,4.32193801272949,10.9528570746258,"DE2"
"DE255",1371211.71,40428,33.9173768180469,32168,3.52392747355963,10.3787274485771,"DE2"
"DE256",2315138.6,181314,12.7686698214148,29675,2.54699450028183,10.2980602194779,"DE2"
"DE257",2172875.69,134136,16.1990493976263,37775,2.78495256135778,10.5394027871409,"DE2"
"DE258",331810.06,114291,2.90320375182648,22212,1.06581486922316,10.0083879623615,"DE2"
"DE259",6315734,167643,37.6737113986268,30598,3.62896254083875,10.3286899263273,"DE2"
"DE25A",866109.29,98751,8.7706381707527,27674,2.17140957121132,10.2282486232293,"DE2"
"DE25B",1665128.1,125140,13.3061219434234,27580,2.58822422582177,10.2248461513473,"DE2"
"DE25C",5288753.69,93342,56.6599568254376,30332,4.03706773240839,10.3199585398208,"DE2"
"DE261",14629168.16,68986,212.059956512916,75781,5.35686904842791,11.2356028805795,"DE2"
"DE262",9468386.04,51969,182.19296195809,98156,5.2050663559683,11.4943133287582,"DE2"
"DE263",29074692.08,124873,232.834096081619,61270,5.45032616596464,11.0230456057197,"DE2"
"DE264",547200.67,173695,3.15035360833645,30780,1.14751470315199,10.3346204073929,"DE2"
"DE265",2861310.57,103106,27.7511548309507,30941,3.3232774548563,10.3398374442253,"DE2"
"DE266",3476392.25,79723,43.6058885139797,36474,3.77519219889561,10.5043549569768,"DE2"
"DE267",3720996.43,84581,43.9932896276942,30228,3.78403711382617,10.3165239261406,"DE2"
"DE268",905560.01,89306,10.1399683111997,34588,2.31648487302992,10.4512620800803,"DE2"
"DE269",1613145.05,128446,12.5589356616788,32773,2.5304324171372,10.3973602846495,"DE2"
"DE26A",2530928.96,126123,20.0671484186072,34327,2.99908407093028,10.4436874955083,"DE2"
"DE26B",710349.99,114813,6.18701706252776,21052,1.82245307434815,9.95475084647367,"DE2"
"DE26C",318812.25,160427,1.98727302760757,27666,0.686763361079164,10.2279595014348,"DE2"
"DE271",51857378.81,286374,181.082705867153,47522,5.19895386539378,10.768948040693,"DE2"
"DE272",4638075.99,42731,108.541246167887,36775,4.68713024975497,10.5125735454696,"DE2"
"DE273",6470798.39,66947,96.6555393072132,53763,4.57115351707164,10.8923407772115,"DE2"
"DE274",3288434.99,42841,76.7590623468173,58819,4.34067145567689,10.9822202109434,"DE2"
"DE275",2152081.47,130916,16.438643634086,25905,2.79963488221502,10.1621912792489,"DE2"
"DE276",4229765.02,245600,17.222170276873,28647,2.84619752339691,10.2628040046183,"DE2"
"DE277",3675809.24,94575,38.8666057626223,33094,3.66013541824763,10.4071072760518,"DE2"
"DE278",2897416.64,123153,23.5269675931565,42822,3.1581473203653,10.6648072681991,"DE2"
"DE279",5330108.81,170309,31.2966948898766,36872,3.44351249739798,10.5152077344003,"DE2"
"DE27A",3739394.64,80429,46.4931136779022,36394,3.83930420867813,10.5021592048732,"DE2"
"DE27B",2186503.72,137709,15.8777111154681,33862,2.76491630912482,10.4300487206882,"DE2"
"DE27C",1986603.87,140419,14.1476856408321,36113,2.64955105176023,10.4944081903,"DE2"
"DE27D",16326974.6,131345,124.306023069017,47695,4.82274645324792,10.7725818495793,"DE2"
"DE27E",3392241.94,152672,22.2191491563614,30417,3.10095449168542,10.3227569416207,"DE2"
"DE300",620991699.93,3520030,176.416593020514,37551,5.17284820389102,10.5334552879961,"DE3"
"DE401",22921784.87,71574,320.252953167351,30543,5.76911116217805,10.3268908057753,"DE4"
"DE402",51589303.98,99687,517.512855036263,33793,6.24903436548078,10.4280089594311,"DE4"
"DE403",54676588.85,58092,941.206858947876,34951,6.84716294427659,10.4617023595559,"DE4"
"DE404",108188867.38,167745,644.960311067394,40495,6.46918878167368,10.6089337886831,"DE4"
"DE405",17737787.98,177411,99.9813313717864,21060,4.6049834822779,9.95513078568797,"DE4"
"DE406",26227431.83,164528,159.410141921132,32167,5.07148038993518,10.3786963612996,"DE4"
"DE407",12188216.85,104673,116.440885901808,22763,4.75738372707425,10.0328916897474,"DE4"
"DE408",12795308.87,158236,80.8621860385753,19990,4.39274629870466,9.90298742749445,"DE4"
"DE409",20300652.09,190714,106.445526232998,20043,4.66763336352348,9.90563524459359,"DE4"
"DE40A",150065973.5,207524,723.125872188277,25254,6.58358330408485,10.1367398379986,"DE4"
"DE40B",17369320.55,112450,154.462610493553,26210,5.03995206377231,10.1738962963175,"DE4"
"DE40C",29154246.86,182397,159.839508654199,23824,5.07417024091028,10.0784487549238,"DE4"
"DE40D",20015755.48,99110,201.954953889618,24940,5.30804467198644,10.124228219234,"DE4"
"DE40E",15417063.9,210910,73.0978327248589,23815,4.29179871822948,10.078070913235,"DE4"
"DE40F",15629938.16,77573,201.486833821046,24696,5.30572403841345,10.114396566182,"DE4"
"DE40G",12998613.55,117635,110.499541377991,31391,4.70501137052378,10.354276506608,"DE4"
"DE40H",15433004.47,163553,94.3608767188618,33237,4.54712654570934,10.4114189921888,"DE4"
"DE40I",24529376.45,121014,202.698666683194,28494,5.31172047565237,10.2574488177772,"DE4"
"DE501",42980246.77,557464,77.0995916686997,48890,4.34509798442944,10.7973281555727,"DE5"
"DE502",19876785.1,114025,174.319536066652,34382,5.16089002924372,10.4452884506014,"DE5"
"DE600",95004612.47,1787410,53.1521097397911,61449,3.97315779806961,11.0259628414688,"DE6"
"DE711",15285306.15,155353,98.390801271942,75662,4.58894731667968,11.2340313318847,"DE7"
"DE712",26351809.57,732688,35.9659358007774,92423,3.58257226274384,11.4341311444038,"DE7"
"DE713",28281852.47,123734,228.569774435483,36982,5.43184152230161,10.5181865867669,"DE7"
"DE714",10324671.99,276218,37.3787080856425,61013,3.62110123978335,11.0188422352038,"DE7"
"DE715",1932862.7,266928,7.24113880896721,27513,1.97977848808446,10.2224138992271,"DE7"
"DE716",1507127.46,292773,5.14776792941972,26852,1.63856320896246,10.1980955850586,"DE7"
"DE717",5870147.78,266042,22.0647408303952,44092,3.09398089691925,10.6940336390832,"DE7"
"DE718",1471121.65,233427,6.30227715731256,45157,1.84091102163057,10.7179005855876,"DE7"
"DE719",3065767.89,411956,7.44197897348261,33367,2.00713680453514,10.4153226665953,"DE7"
"DE71A",1226914.59,232848,5.26916524943311,53658,1.66187195331518,10.8903858515742,"DE7"
"DE71B",517718.39,97000,5.33730298969072,26088,1.67472046727694,10.1692307174692,"DE7"
"DE71C",2347990.21,347357,6.75958800312071,40403,1.91096194191365,10.606659318618,"DE7"
"DE71D",3280069.81,184114,17.8154285388401,23498,2.8800648537132,10.0646705901275,"DE7"
"DE71E",3868203.24,301931,12.8115471415655,27954,2.55034688469429,10.2383155810449,"DE7"
"DE721",6633956.68,262505,25.271734557437,34826,3.22968656001937,10.4581195132393,"DE7"
"DE722",4673988.9,253167,18.4620779959473,32635,2.9157187902339,10.3931406110693,"DE7"
"DE723",2631686.93,171922,15.3074471562685,28359,2.72833945221759,10.2526997190935,"DE7"
"DE724",17323450.86,245241,70.6384774976452,34658,4.25757500308559,10.4532838582002,"DE7"
"DE725",63534280.27,107256,592.36108255016,26118,6.38411638568833,10.1703800107804,"DE7"
"DE731",14990428.11,197984,75.7153512910134,49019,4.32698093104672,10.7999632570372,"DE7"
"DE732",5173571.21,220132,23.502131493831,35709,3.1570911189021,10.483158036836,"DE7"
"DE733",4402023.75,121166,36.3305197002459,34272,3.59265815111967,10.4420839732475,"DE7"
"DE734",279522.09,235813,1.18535487865385,32260,0.170042205410467,10.3815833516792,"DE7"
"DE735",7657214.77,180310,42.466944539959,30004,3.74872599777568,10.3090859850895,"DE7"
"DE736",3995605.04,157592,25.354110868572,35706,3.23294088133067,10.4830740208729,"DE7"
"DE737",3825110.5,100715,37.9795512088567,24020,3.63704788880186,10.086642095634,"DE7"
"DE803",129118043.66,206011,626.753152307401,34164,6.44055276663469,10.438927737066,"DE8"
"DE804",130269436.17,96800,1345.75863811983,37335,7.20471317623513,10.5276865034698,"DE8"
"DE80J",101371941.2,262517,386.153815562421,25577,5.95623577600341,10.1494487891308,"DE8"
"DE80K",89374294.88,213473,418.667910602278,23194,6.0370780295394,10.0516489035166,"DE8"
"DE80L",29477282.9,224820,131.115038252824,22684,4.8760750924507,10.0294151091339,"DE8"
"DE80M",28587981.02,156270,182.939662251232,21948,5.20915638399951,9.99643129817887,"DE8"
"DE80N",70313062.35,238358,294.989311665646,22963,5.68693912404156,10.0416395039189,"DE8"
"DE80O",46335336.5,214113,216.405993564146,22360,5.37715624328077,10.015028927269,"DE8"
"DE911",25751918.99,251364,102.448715766776,71724,4.62936233938698,11.1805806986123,"DE9"
"DE912",15392504.22,101079,152.281920280177,50058,5.0257335416277,10.8209376121301,"DE9"
